segment,elevation,name,rating
0,3576.01855469,13 Cornice,Double Black
15.5093149918,3572.89501953,13 Cornice,Double Black
31.0186299836,3569.25634766,13 Cornice,Double Black
46.5279449754,3565.78466797,13 Cornice,Double Black
62.0372599671,3562.65209961,13 Cornice,Double Black
77.5465749589,3557.97558594,13 Cornice,Double Black
93.0558899507,3548.33447266,13 Cornice,Double Black
110.427707447,3544.25830078,13 Cornice,Double Black
127.799524942,3539.55200195,13 Cornice,Double Black
145.171342438,3533.79003906,13 Cornice,Double Black
162.543159934,3527.08886719,13 Cornice,Double Black
176.415112977,3521.67358398,13 Cornice,Double Black
190.287066019,3515.8425293,13 Cornice,Double Black
204.159019062,3515.0390625,13 Cornice,Double Black
216.521801363,3510.50585938,13 Cornice,Double Black
228.884583665,3508.95410156,13 Cornice,Double Black
241.247365967,3507.03515625,13 Cornice,Double Black
253.610148269,3503.12890625,13 Cornice,Double Black
270.36020846,3498.87109375,13 Cornice,Double Black
287.110268652,3494.33764648,13 Cornice,Double Black
296.600144626,3491.9128418,13 Cornice,Double Black
0,3556.14404297,2nd Alley,Black
18.4254080213,3550.54858398,2nd Alley,Black
36.8508160427,3543.7800293,2nd Alley,Black
55.276224064,3536.13598633,2nd Alley,Black
73.7016320854,3519.4909668,2nd Alley,Black
89.8159976815,3510.46142578,2nd Alley,Black
105.930363278,3498.54296875,2nd Alley,Black
122.044728874,3488.01806641,2nd Alley,Black
138.15909447,3479.64331055,2nd Alley,Black
154.273460066,3464.95629883,2nd Alley,Black
168.510866804,3457.26367188,2nd Alley,Black
182.748273542,3450.64257812,2nd Alley,Black
196.98568028,3445.16992188,2nd Alley,Black
211.223087018,3439.38989258,2nd Alley,Black
225.460493756,3433.26879883,2nd Alley,Black
243.738392017,3427.26708984,2nd Alley,Black
262.016290278,3414.99194336,2nd Alley,Black
286.381012562,3409.45874023,2nd Alley,Black
304.226914881,3398.11572266,2nd Alley,Black
322.072817201,3392.14990234,2nd Alley,Black
339.91871952,3387.54272461,2nd Alley,Black
362.667870562,3378.73144531,2nd Alley,Black
385.417021603,3375.14648438,2nd Alley,Black
0,3528.13305664,3rd Alley,Double Black
15.0677856854,3520.91357422,3rd Alley,Double Black
30.1355713708,3512.54248047,3rd Alley,Double Black
45.2033570561,3501.93945312,3rd Alley,Double Black
61.9654215772,3490.53662109,3rd Alley,Double Black
78.7274860982,3480.42431641,3rd Alley,Double Black
95.4895506192,3468.04663086,3rd Alley,Double Black
123.796549641,3451.82568359,3rd Alley,Double Black
